一个计算机程序被训练来根据句子中的单词猜测句子的方言。 - 你会看到一个来自方言的句子和计算机用来分类的单词。 - 您将看到计算机使用的两种不同算法，每种算法都基于不同的单词。 - 每组单词按重要性降序排列。 （第一个词最重要，第二个词次要，第三个词最不重要） - 你需要通过回答这两个问题来决定哪种算法更能解释计算机的决定。 - 问题一请使用 x, y, b, n 来标注所选选项				
句子	算法 X	算法 Y	问题1：计算机应该根据算法X(x)、算法Y(y)、两者(b)、都不是(n) 将句子分类为大陆普通话吗？	问题2：如果您在问题1中回答 都不是(n)，你觉得计算机应该根据什么词来做选择呢？
這款 鳳梨 最先 是 在 西班牙 殖民 期間 從 拉丁美洲 引進 菲律賓	引進, 殖民, 從	殖民, 拉丁美洲, 引進	y	鳳梨
聯合國糧農組織 的 研究 指出 亞太地區 在 年前 的 森林 面積 應 增加 平方公里 平方英哩	年前, 研究, 指出	平方英哩, 平方公里, 面積	y	
他們 兩位 都 談到 飛行 期間 的 體驗	談到, 體驗, 兩位	體驗, 的, 飛行	x	
但是 她 從來不 曾 像 對待 矮人 金靂 和 魔戒 遠征隊 那樣 慷慨 回 報費 諾 的 讚美	金靂, 魔戒, 慷慨	那樣, 金靂, 讚美	x	
紐西蘭 是 人類 到 了 近代 才 正式 定居 的 主要 陸地 區域 之一	陸地, 的, 才	區域, 陸地, 定居	y	紐西蘭
損失估計 為 萬美元 年版 菲律賓 比索 為 億 萬	年版, 損失估計, 為	菲律賓, 億, 萬	x	
年 她 在 歐洲 和 美國 巡迴演出	和, 歐洲, 巡迴演出	巡迴演出, 歐洲, 和	y	
生產 磚砌 茶葉 的 偏好 可能 源於 可以 更 容易 地 運輸 和 儲存 的 事實	可能, 事實, 地	儲存, 偏好, 事實	y	
該 公司 於 年 第二季 起 開始 以 波音 夢幻 客機 提供 服務	於, 第二季, 開始	該, 於, 第二季	x	
最後 該片 成為 台灣史 上 第二 賣座 電影	第二, 電影, 該片	成為, 賣座, 電影	y	
幾個 月 後 她 的 系列 在 印度 各地 的 商店 首次 亮相 並 受到好評	幾個, 受到好評, 月	各地, 首次, 月	x	
新藥 是 安全 的 因此 她 也 成功 完成 新藥 的 病患 治療 試驗	試驗, 因此, 成功	成功, 治療, 是	x	
製作 人 和 汪東城 本人 也 確認 將會 製作 第二季	確認, 也, 人	汪東城, 將會, 製作	x	
樂隊 的 影響 範圍 主要 包括 另類 獨立 搖滾樂 隊 和	搖滾樂, 和, 樂隊	主要, 的, 搖滾樂	x	
理查 歷經 腳踝 受傷 之後 其 羅密歐 的 角色 在 年 遭到 替換	其, 角色, 年	理查, 羅密歐, 歷經	y	
月 日 因為 暴風 在 南中國海 重整 香港 天文台 發出 了 號 戒備 信號	南中國海, 因為, 發出	發出, 南中國海, 信號	x	
為 了 確定 新 的 國歌 舉行 了 一場 競賽 的 被 選中	一場, 新, 了	為, 國歌, 確定	x	
年 月 日 長榮 航空 與 桃園市 空服員 職業工會 達成協議 罷工 將於 年 月 日 結束	空服員, 年, 航空	職業工會, 將於, 罷工	b	
它 是 為 一部 名為 愛你到 週二 的 宣傳 影片 所寫	愛你到, 的, 所寫	為, 一部, 它	x	
常見 的 電傳 印表機 除了 由 製造 的 電腦 之外 也 能 輕鬆 連接 其他 電腦 介面 十分 受歡迎	印表機, 電傳, 連接	的, 介面, 印表機	x	
年 汪東城 除了 拍片 之外 也 在 日本 大阪 京都 東京 中國 北京 深圳 等 城市 舉辦 個人 演唱會	日本, 東京, 舉辦	演唱會, 汪東城, 拍片	b	
這類 鞋種 快速 普及 因為 方便 又 舒服 在 海灘 主題 商店 很 常見 當作 夏天 的 涼鞋	鞋種, 涼鞋, 海灘	的, 方便, 常見	x	
的 配電網 運營商 是 聯合 公用事業 集團 而 該鎮 沒有 發電站	配電網, 而, 集團	運營商, 公用事業, 發電站	b	
當時 任職 於 英國皇家海軍 的 科學研究部	英國皇家海軍, 科學研究部, 任職	科學研究部, 於, 英國皇家海軍	x	
該 影片 設定 在 色彩鮮豔 的 劇院 內	劇院, 內, 色彩鮮豔	影片, 設定, 色彩鮮豔	y	
