predicted_labels	true_labels	lil_interpretations	gil_interpretations
1	1	[('risiede', -0.6827665567398071), ('nello', -0.6827666461467743), ('di', -0.6895140707492828), ('dei', -0.689524382352829), ('politica', -0.6895262598991394)]	['occorre trovare una soluzione', 'è un aspetto essenziale', 'idare la predetta assemblea', 'avete dichiarato che sarà così', 'coëgiacrocefieschi a croxedavagna dägnafascia']
1	1	[('climatici', -0.6947058737277985), ('misure', -0.6947446763515472), ('consiglio', -0.694746196269989), ('una', -0.6947602331638336), ('i', -0.6947683393955231)]	['vorrei porle una domanda', 'vorrei fare però unaltra osservazione', 'ha avuto dei contatti', 'dichiarazioni scritte articolo', 'forma di trattamento medico alternativo']
0	0	[('periudu', -0.6766357123851776), ('sucescìvu', -0.6766754388809204), ('lampliamentu', -0.6767780780792236), ('uperà', -0.6774318516254425), ('a', -0.6778004765510559)]	['non esistono droghe leggere', 'occorre trovare una soluzione', 'vorrei fare però unaltra osservazione', 'poi agli inizi di dicembre', 'siamo invece divisi nelle risposte']
1	1	[('al', -0.6914407312870026), ('dei', -0.6914887428283691), ('carburanti', -0.691572904586792), ('che', -0.6916826963424683), ('di', -0.691720187664032)]	['vorrei porle una domanda', 'ha avuto dei contatti', 'vorrei fare però unaltra osservazione', 'forma di trattamento medico alternativo', 'dichiarazioni scritte articolo']
0	0	[('costitoénti', -0.6776829659938812), ('de', -0.6778606176376343), ('o', -0.6786540746688843), ('senedd', -0.6789698898792267), ('naçionâle', -0.6798623502254486)]	['vorrei fare però unaltra osservazione', 'poi agli inizi di dicembre', 'siamo invece divisi nelle risposte', 'non esistono droghe leggere', 'ha avuto dei contatti']
0	0	[('e', -0.6779465079307556), ('asiùn', -0.6782573461532593), ('dòu', -0.6790023148059845), ('i', -0.6804010570049286), ('mugug', -0.6804172694683075)]	['non esistono droghe leggere', 'vorrei fare però unaltra osservazione', 'poi agli inizi di dicembre', 'siamo invece divisi nelle risposte', 'ha avuto dei contatti']
0	0	[('zeneise', -0.6787947118282318), ('so', -0.6788040995597839), ('traduxe', -0.6788863837718964), ('contesta', -0.6789034307003021), ('in', -0.6789524257183075)]	['vorrei fare però unaltra osservazione', 'poi agli inizi di dicembre', 'siamo invece divisi nelle risposte', 'ha avuto dei contatti', 'lv la ringrazio signora presidente']
1	1	[('energia', -0.6808676421642303), ('consiglio', -0.6892708837985992), ('materia', -0.6896681189537048), ('climatici', -0.6897208392620087), ('di', -0.6897297501564026)]	['vorrei porle una domanda', 'ha avuto dei contatti', 'vorrei fare però unaltra osservazione', 'forma di trattamento medico alternativo', 'idare la predetta assemblea']
1	1	[('del', -0.6934219300746918), ('in', -0.6934400796890259), ('un', -0.6934631764888763), ('gruppo', -0.6934843063354492), ('e', -0.6934933662414551)]	['vorrei porle una domanda', 'vorrei fare però unaltra osservazione', 'ha avuto dei contatti', 'forma di trattamento medico alternativo', 'dichiarazioni scritte articolo']
1	1	[('a', -0.6890789270401001), ('costato', -0.6890899538993835), ('stato', -0.6890949606895447), ('più', -0.6890961229801178), ('dellestonia', -0.6890962719917297)]	['vorrei porle una domanda', 'idare la predetta assemblea', 'occorre trovare una soluzione', 'ha avuto dei contatti', 'è un aspetto essenziale']
