sentence	label
特別 是 的 和 而	1
魏德圣 屏东县 年底 完成 了	0
哥斯达黎加 年 全球 菠萝 产量	0
紀念郵票 宣揚 發明 那 一年	1
方面 航空 的 飞机 有	0
读完 牙科 大多数 专业 需要	0
屠 呦 的 外祖父 姚咏白	0
久遠 海龍 號 為 青少年	1
新南 當時 還 隸屬於 威爾斯	1
徒步走 到 无线电 塔 将	0
由于 成本 低 这 道菜	0
請願 紐西蘭 年 英國政府 在	1
年代 工程師 曾 提出 有關	1
在 選角 會議 時 和	1
再 加上 蚊帳 殺蟲劑 和	1
月 出來 急性 日 診斷	1
哈维 布鲁克 聋哑 学校 的	0
各任 总督 军团 的 军官	0
學位 或 證書 體系 也	1
肺部 肺 也 是 內臟	1
视 种类 达到 三文鱼 会	0
风度 于 年 推出 是	0
上海 有 许多 和 由于	0
北側 的 士林 和 北投	1
晚餐 後 們 注意 攝影師	1
年 荷蘭 的 製圖師 團隊	1
測試人員 當成 直到 年代 軟體	1
的 了 戰爭 次年 根據	1
临近 暖锋 云层 层状 前方	0
籃球 該 舉辦 如 和	1
據 目前 所知 第一批 抵達	1
现今 公路 的 原始 高速公路	0
頂端 嫁接 和 側腹 為	1
他 翻閱 到 的 專利	1
的确 一两天 不用 洗发水 就	0
歐洲 殖民者 沿著 小溪 的	1
谷氨酸 成体 星形 胶质 细胞	0
天擇 定向進化 的 支持者 否決	1
设备 两种 都 是 字体	0
为 他 被 任命	0
回到 月 台灣 後 林帶	1
反覆 劇 集中 出現 的	1
有些 超市 會 以 合成	1
年 国子监 再次 迁回 夫子庙	0
这 是 该 周 福克斯	0
在 發炎 促進 小 狀態	1
建於 的 呎 新 該處	1
要 在 米 卻 肯州	1
在 北京 重庆 广州 和	0
在 瀋陽 舊 外牆 外約	1
因此 预计 将 三峡大坝 运行	0
紙及 使用 特殊 的 感熱	1
钢琴 此基础 交换 的 结果	0
年 海南 航空 成為 中國	1
節目 統籌 比爾 奧 克利	1
故乡 最大 的 城市 市	0
的 時 珠寶店 尋找 影集	1
是 如 打印 照片 不再	0
当林心 如 承诺 出演 妲	0
进化论 在 超自然 禁忌 生物学家	0
飾 給 改頭換面 表面 上	1
食客 把 淋上 要 醬汁	1
在 的 新年 荣誉 中	0
每年 有 超过 亿吨 废水	0
费诺 曾 三次 求 她	0
她 告诉 泰瑞 想 留下	0
富邦 花旗银行 大通 银行 以及	0
形状 有关 也 德语 中	0
該隊 回應 批評 的 方式	1
交叉路口 此 標記 北行 的	1
称为 的 原住民 最早 英国	0
方案 建议 将 与 图书馆	0
公顷 首先 都乐 的 菠萝	0
尽管 对 存在 争议 人们	0
從 柯克伍 德 高速公路 沿著	1
开拓 这些 了 发展 的	0
在 北美 西岸 有 部分	1
运动 医学 教授 时间 为	0
該 發行 系列 除了 在	1
电视台 的 用作 结局 这	0
當時 小徑 開發 一種 瘧疾	1
由 外國 社區 建立 的	1
年 中国共产党 治下 的 校方	0
可以 在 软盘 驱动器 中	0
他 而 起诉 要求 其	0
的 專利 工程師 並在 之後	1
世紀 從 到 今天 的	1
當時 有 個 城區 和	1
全运会 但是 曾 有人 和	0
宇航员 年 月 在 退休	0
