sentence	label
特別 是 的	1
魏德圣 屏东县 年底	0
哥斯达黎加 年 全球	0
紀念郵票 宣揚 發明	1
方面 航空 的	0
读完 牙科 大多数	0
屠 呦 的	0
久遠 海龍 號	1
新南 當時 還	1
徒步走 到 无线电	0
由于 成本 低	0
請願 紐西蘭 年	1
年代 工程師 曾	1
在 選角 會議	1
再 加上 蚊帳	1
月 出來 急性	1
哈维 布鲁克 聋哑	0
各任 总督 军团	0
學位 或 證書	1
肺部 肺 也	1
视 种类 达到	0
风度 于 年	0
上海 有 许多	0
北側 的 士林	1
晚餐 後 們	1
年 荷蘭 的	1
測試人員 當成 直到	1
的 了 戰爭	1
临近 暖锋 云层	0
籃球 該 舉辦	1
據 目前 所知	1
现今 公路 的	0
頂端 嫁接 和	1
他 翻閱 到	1
的确 一两天 不用	0
歐洲 殖民者 沿著	1
谷氨酸 成体 星形	0
天擇 定向進化 的	1
设备 两种 都	0
为 他 被	0
回到 月 台灣	1
反覆 劇 集中	1
有些 超市 會	1
年 国子监 再次	0
这 是 该	0
在 發炎 促進	1
建於 的 呎	1
要 在 米	1
在 北京 重庆	0
在 瀋陽 舊	1
因此 预计 将	0
紙及 使用 特殊	1
钢琴 此基础 交换	0
年 海南 航空	1
節目 統籌 比爾	1
故乡 最大 的	0
的 時 珠寶店	1
是 如 打印	0
当林心 如 承诺	0
进化论 在 超自然	0
飾 給 改頭換面	1
食客 把 淋上	1
在 的 新年	0
每年 有 超过	0
费诺 曾 三次	0
她 告诉 泰瑞	0
富邦 花旗银行 大通	0
形状 有关 也	0
該隊 回應 批評	1
交叉路口 此 標記	1
称为 的 原住民	0
方案 建议 将	0
公顷 首先 都乐	0
尽管 对 存在	0
從 柯克伍 德	1
开拓 这些 了	0
在 北美 西岸	1
运动 医学 教授	0
該 發行 系列	1
电视台 的 用作	0
當時 小徑 開發	1
由 外國 社區	1
年 中国共产党 治下	0
可以 在 软盘	0
他 而 起诉	0
的 專利 工程師	1
世紀 從 到	1
當時 有 個	1
全运会 但是 曾	0
宇航员 年 月	0
谷區且 其他 位於	1
年 發動 日本	1
她 於 年	1
二十歲 她 在	1
软件测试 的 测试	0
之後 她 在	1
移居 鄭經 設置	1
在 冷锢 囚锋	0
勝過 雜誌 雖然	1
之後 不久 便	1
其他 聲稱 他們	1
就 像 黑礁	1
是 搜救 與	1
暖鋒 過境 後	1
學生 為 學校	1
高級 皮製 或	1
虽然 有 高	0
选中 这个 三天	0
鸭子 有些 做法	0
这 读者 参与	0
充當 貨物 之外	1
爱德华 弗朗西 史密斯	0
坎伯蘭 平原 位處	1
组织 犹太 财物	0
获得 屠 呦	0
兩年 後 推出	1
親水 每天 幾次	1
自 年代 以降	1
電子商務 指令 一般而言	1
因為 這個 職位	1
封 龍山 在	1
同时 越来越 多	0
开放 作为 建设	0
澳大利亞聯邦 接著 在	1
安大略湖 這 一點	1
蘭州 過去 曾經	1
中 的 细胞	0
據 相較 步距	1
年 一座 將近	1
作品 都 顯得	1
在 離 導演	1
斯洛文尼亚 描绘 尔	0
变香且 在 洗发水	0
当 她 与	0
在 中 首次	1
基因 與 無關	1
合资企业 由于 东风	0
小 纸张 有的是	0
例如 首次 访华	0
段 生於 香港	1
年 月 日	1
终点 建设 一期	0
盲点 安全 隐患	0
月 这支 乐队	0
米 雪勒写 到	0
成大 中央研究院 计划	0
有 一种 化合物	0
年 府治移 至	0
在 博主 俄罗斯	0
这些 故事 带来	0
港灣 停靠 式	1
動盪 仍能 然而	1
年 月 魏讀	1
这里 建立 殖民地	0
協助 滑鼠 年	1
白邊 真 鯊	1
約瑟夫 雖然 馬加比	1
動態 後來 消費市場	1
他 创建 这个	0
的 称 来	0
主體 車站 內部	1
马桶 纸器 显而易见	0
立法委員 中 屏東	1
打印机 快者 较	0
创办 南京大学 多年	0
的 一位 发言人	0
航线 年 月	0
年 野 百合	0
年 爱尔兰 罪犯	0
從 年代 開始	1
中尉 瓦克 陆军	0
該 在 前	1
先例 年 新西兰	0
时 有 重要	0
在 年 清朝	1
觀察員 解毒劑 國家	1
上海 作为 的	0
史賓 其他 酪	1
享用 年 周恩來	1
年 商學院 移往	1
目前 不 清楚	1
战前 火柴 工业	0
前 美国 无线电	0
政府 社会保障 部	0
在 攝影師 約翰	1
如 左方 生產	1
最初 播出 时	0
该 大学 由	0
行政院 为省 于	0
在 印度 部分	0
年 月 日	0
在 中 寫道	1
纸张 字体 碰到	0
魚卵 會 孵化	1
長榮 航空 的	1
像 穿梭 一样	0
據 加拿大 生物學家	1
與 這條 路會	1
世纪 年代 初	0
长老会 他 纽约	0
的 生活 同意	1
達到 它們 越	1
面對 毫無 立足之地	1
該校 目前 有	1
的 他们 被	0
該 裝置 固定	1
耶路撒冷 的 化	0
摄影师 这个 约翰	0
