sentence	label
遭到 有 砍伐 滿洲里 大量	1
新澤西州 中心 當代藝術 藝術 一次	1
氣冷 新 機組 且 維護	1
提取 采用 发现 出 有效	0
台北 在 樂團 時尚 他	1
会 边唱 我 这 但	0
六院 設有 系	1
已經 的 無關 儘管 都	1
话 原住民 也 语 英语	0
土地 的 最初 併入 世紀	1
日漫改 男 宣布 天城 绝对	0
媒体 认可 得到 对 政府	0
剧组 对 曼说 他 一集	0
园艺 上 得以 未能 的	0
测试 数据 一种 子系统 相关	0
在 规定 内 缺乏 案件	0
董事长 竞选 挑战者 公司 年	0
他 在 年 项目 杂志	0
一种 推测 氯化物 是 它	0
更 完成 我 工作 輕鬆	1
區的 附近 中正 總統府 地標	1
航空 提供 月 羽田機場 直飛	1
过程 演变 发酵 一种 通过	0
日 以 公里 達到 英哩	1
初中 效實 中學 於 高中	1
突然 很 我 不断 改变	0
動物 牠 這種 年 和普羅	1
了 和 建立 公共 並	1
石油 也 生产 工业 设备	0
可能 於 供水 化工廠 的	1
单元 所有 中 绝大多数 通常	0
提供 更好 領袖 儘管 政府	1
菸草 有 加工 製造 玻璃	1
與 為主 大學生 研究生 校區	1
关于 内容 想法 了 结合	0
看 应对 曾 个 多种	0
上升 冷锋 并且 位于 内	0
年 西雅圖 華盛頓大學 後 學業	1
張 在 電影 扮演 執導	1
具备 公司 开创 财务 任何	0
几年 被 认为 里 国家	0
了	0
逃離 新 和 俄羅斯 在	1
執導 拍過 資深 由 反恐	1
人當季 漢姆 唐 扮演 他	1
她 如 泰爾 族人 般的	1
指環 以 戴 裝置 按鍵	1
本杰明 相差无几 轨迹 上 概念	0
是 米尔 都 生活 名字	0
用于 打印机 打印 不再 一些	0
運動 野百合 年 臺灣 該	1
蘭州 為 國家級 是 國務院	1
到 唯有 這些 採用 的	1
了 使用 乐队 在 回归	0
之一 都市 繼續 穩定 稠密	1
一款 設計 的 則是 美國	1
出 比如 陳 越來越 世	1
面對 年間 的 長榮 大漲	1
的 內閣 以 並 大幅	1
改善 上游 促进 处理 重庆	0
职能 这一 成为 期间 委员会	0
開始 採用 航空 交機 商飛	1
于 的 感应 和 装置	0
篇 后 姊妹 出版	0
类似 开始 已降 用 的	0
族群 和 是 區 大多數	1
高級 衛生 月 離開 到期	1
而且 用來 半自動 稱 實拍	1
原住民 从 曾 悉尼 搬到	0
沒有 可言 出場 自己 他	1
不同 内在 人 有 限制	0
一個 編輯 了 攝影機 般的	1
已经 和 机构 最初 提名	0
還在 尚未 研發 裝置 都	1
至 公园 毗邻 国家 林区	0
感到 相容性 主觀 價值 高度	1
第一次 字典 用法 是 之前	0
首架 月 海南 飞机 收到	0
年代 的 城门 一座 了	0
慶祝 公司 創立 台灣 長榮	1
绑架 丛林中 的 希望 能	0
稱 所以 本季 試圖 一集	1
大约 伦敦 月 乐队 演出	0
洛 抒发 和 是 诗歌	0
说 错误 了 怀特 反复	0
法兰克福 工作 纳入 世纪 标志	0
第三个 雪铁龙 截至 两个 有	0
叫 名称 最 糕饼 之一	0
可靠 让 故事 媒介 新闻	0
现在 的 台北市 整编 由	0
外 初 老 开始 沈阳	0
则 称为 被 以前 梨	0
附件 表示 客戶端 是 標準	1
努力 只能 在 遭毀 二戰	1
狂熱 插 之後 在 就	1
就 宪法 各大 总督 的	0
島 如 是 位於 不	1
投票 大部分 获胜者 和 最终	0
起源 自 內文 表示 法國	1
與 雲南 採集 饗宴 村人	1
人數 年 下降 的 到	1
腹地 长白山 东部 上 位于	0
了 今天 的 城市 反映	0
演藝事業 了 的 左右 有人	1
时代 冷静 制作 有 假角	0
中 代表 被 矿物 矿井	0
已 其中 位于 两个 湖北	0
原始 阿帕奇 與 西部 的	1
不得不 履行 紧张 第一周 古德	0
沙丘 模式 下方 棲地 的	1
此處 第稱 他 陳 打狗嶼	1
与 达米 努伊 当地 下	0
洞 站台 就 而来 边缘	0
並非 洗髮 滑落 排水 沿著	1
简单 运行 终端用户 期待 测试	0
展現 推出 年 展示 公司	1
河口 蘇州 時 河道 注入	1
管理層 再次 中期 也 年	1
的 中型 鋪面 數百個 接壤	1
神父 达 在 举行 出席	0
航向 的 與 漁船 漁港	1
舞蹈 的 节目 舞林 在	0
产生 的 风速 大帽山 英里	0
他們 沿用 啟示 一集 中間	1
据说 其中 一系列 一直 于	0
公司 商用车 及 品牌 出口	0
三次 哪怕 曾 给 但	0
一个 如果 前 应该 跑	0
的 了 信息 中 添加	0
镉 密切相关 两个 含量 与	0
同意書 技術 合約 也 簽署	1
受伤 美洲 原住民 殖民者 救治	0
日文 殖民 后 台湾 仍	0
的 被 主题 呈现 和	0
的 斯騰 伯格 肌肉 了	1
會 現在 通稱 是 迴紋針	1
多個 襄樊市 小客車 日產 輕型	1
日 一同 號 澳航 飛行	1
中國 設立 科學研究 與 團隊	1
幼年 表皮 十分 海蝨 脆弱	1
後面 由 附錄 宣稱 還在	1
是 第 东方 麦金莱 会员	0
传统 渔业 的 农业 经济	0
的 位于 集团 广场 总部	0
并 慈善 良好 了 关系	0
公尺 為	1
的 秀 盧梭 時光 見證	1
游客 和 百姓 这一 的	0
該團 人數 有 月 倫敦	1
育有 女儿 两个	0
医学院 北京 至 她 于	0
远东 大学 于 曾 现	0
海外 迴紋針 自由 順利 存在	1
首任 元坦 校长 为币	0
被 很 基地 當初 該地	1
是 也 联防 经济合作与发展组织 协议	0
直到 最大 城市 电车 大英帝国	0
還活 都 到 取而代之 別想	1
展現出 興趣 軍事 時 對	1
技术 不足 下 包括 等	0
學生 只有 入學 台灣 以	1
感到 黄色 水里 的 透明	0
樂團 由 叫做 與 任	1
了 和 分别 点击 万	0
是 倍 大坝 的 发电	0
笔记 自己 验方 成 发现	0
的 版 月 香港 发行	0
的 法院 为首 初级 最高法院	0
保存 位置 下來 骨骼 原始	1
公開 真人 他將 中 在	1
日本 年 一員 帝國 台灣	1
此時 不適 漢在 中 在	1
之 與 高雄縣 今 包括	1
地球 直徑 質量 倍 則為	1
描述 年來 零星 的 增添	1
毒品 故事 中 进入 复杂	0
單一 兩端 控制 標示 都	1
六氯 氢 该 过程 克	0
鐵塔 用於 噸 壩體 鋼材	1
一种 下降 至少 的 英尺	0
授粉 蜂鸟 菠萝 主要 由	0
上海 了 控制 人民解放军 月	0
於 專注 成員 鍵盤 他	1
港口 建議 學校 船隻 關閉	1
通过 规定 到 的 一项	0
建成 年 公园 正式 于	0
里特 了 在 索尼 的	1
遠 萬台幣 平方公尺 平方 原本	1
列為 指數 臺北 的 城市	1
表明 才 是 烟怪 杀死	0
的 商業 品種 梨 一小部分	1
的 艺术节 记忆 在 节日	0
五年 第一个 女性 成为 推出	0
写 是 巴特 去世 标题	0
上 也 線 成大 協議	1
日 了 天文台 暴風 在	1
一名 的 荷马 后 伯恩斯	0
已成 觀點 貝 主流 作品	1
日光 度假 的 世纪 视为	0
佔領 上海 東部 未能 太平天國	1
联系 植被 强烈 访问 有着	0
往往 的 寫道 指南 個性	1
中国 别样 一种 烤鸭 制作	0
創新 精神 要 服務 機尾	1
該集 的 以及 短 他們	1
換 突然 我 不停 什麼	1
所有 安條克 堡壘 時 起義	1
等 作为 因素 将 和	0
否決 向 來 允諾 三年	1
透氣 島上 輕盈 喜愛 十分	1
高等教育 元 太學 包括 在	1
在 經驗 國際航空公司 成立 台灣要	1
台灣 田健治郎 為 任 第	1
帶到 捕食 並將 作用 相當於	1
音樂獎 哈娜 開場 美國 時	1
艾爾拉哥 蘇西 曼 的 居住	1
穿着 一种 声音 长 蓄着	0
高等 成立 师范学校 该校 南京	0
为 航空公司 这家 省级 更名	0
年 評論 提出 沃茨 反駁	1
学位 美国 大学 获得 深造	0
总部 约翰 基础设施 多家 位于	0
了 中 已经 提出 来	0
增长 了 过程 维持 水井	0
充足 鳳梨汁 軟嫩 拿來 含有	1
歐洲 全境 連接 營運 遍及	1
航空 其 月 新 波音	1
年代 来 的 英语 带	0
吊飾 形式 和 通常 門環	1
有好有壞 的 常用 系列 但	1
寶石 在 於 證據 確切	1
一面 童话 场景 爱情 多地	0
在 想要 上 為 國際	1
以色列 晚期 梨 印尼 引進	1
多纳 圣母 教皇 对 既	0
托伊納 也 不同 展示 洞穴	1
美國 在 經典 雀 巴馬	1
印象 魏德圣 的 投资 该片	0
電力 的 六人 亡 因	1
城市 生态 价值 显示 的	0
认为 光环 水果 中 好客	0
估計 英鎊 為	1
者 的 超市 隨之 降價	1
也 農業 部分 某些 因此	1
加利福尼亚州 一颗 世纪 变 从	0
超過 該市 成長 年間 人口	1
复述 他 具体化 将 目前	0
英文 香港 家庭 和 中学	0
台 这 地下 大坝 在	0
在 的 汉字 上 名称	0
人文 商学 技术 大学 学院	0
上 名 居住 此 大城市	0
加 国际 甘肃 担任 比赛	0
北方 城區 城市 地方 神廟	1
城市 西北 场馆 主要 是	0
給 的 不留情面 因為 到	1
所在地 的 奉天 也 年	0
和 就讀 蘇格蘭 公民 傻子	1
市 桃园县 直辖市 月 日	0
了 集中 将 封面 的	0
地區 卡爾皮 達契亞 是 被	1
麥克 到 司令官 局 局長	1
往往 多 较大 底 猎物	0
俩 芬 不了 改变 也	0
回報 了 年僅 噸	1
联系 一切 几乎 获释 可能	0
曲目 在 照顾 之外 意外	0
发出 方向 来 确定 动作	0
电影 史上 成为 台湾 畅销	0
的 从 在 他 臀部	0
语言 使用 山 作为 名字	0
主要 包含 應用 高畫質 機	1
黎明 自 电影 香港 改编	0
一組 高 都 超過 公尺	1
文字 结合 可 自动化 证据	0
的 作者	1
導致 魚肉 含量 脂肪酸 珍貴	1
的 三个 中 片段 衬衫	0
其他 都 孢子 著 生命週期	1
和莉茲 毛毯 爭霸 產品 不是	1
西 綠茶 用途 使用 純粹	1
卵 的 鮭魚 這個 只有	1
在 聚焦 後 古特 危機	1
品質 品種 一模一樣 結出 不見得	1
到 为 山 之间 度	0
推薦 內 訓練 飛機 剛成立	1
以下 会 软件 过程 发生	0
航空 上衣 短 年 制服	1
则 表情 着 下 场景	0
原民 半數 年 有 的	1
印度 没有 类似 凉鞋 夹	0
吊炉 用 杨全仁 创始人 了	0
第三个 罗马 凉鞋 带子 第二	0
會 較 一些 早上 芳香烴	1
法庭 判決 都 太 一樣	1
和 海军 担任 月 部长	0
外國 對抗 為 在 建設	1
高 上海 优先权 客户 较	0
合订本 日本 以 在 出版	0
年 药学 于 就读 毕业	0
镇 台湾 最高峰 超过 是	0
城市 延伸 中國 長城 保護	1
為 呎 淹沒區 立方 英哩	1
其 化 多瑙河 部分 为	0
商人 是 父親 母親 家管	1
研究院 技术 国家标准 研究 带来	0
作为 最 工业 激进 在	0
相互 同 預定 版本 規格	1
夏季 中性 鞋類 人字拖 年代	1
不乏 文学性 生活 日常 措辞	0
長 她 呎 公分 高	1
的 深海 鯊魚 捕捉 遲鈍	1
疫病 所 通常 導致 天候	1
青蒿 即 尤其 了 西方	0
軌道 這 應該 會 一致	1
的 人字拖 加州 海灘 方式	1
網路 在 人氣 為 觀眾	1
基農省 民答 位於 分別 和布	1
农产品 还有 当地 加工厂	0
來源 的 三氯乙烯 是 汙染	1
了 摧毁 人物 方向 作曲家	0
这棵 杰森 树 利普舒茨 的	0
發現 很少 中 銫 會	1
神灵 的 把 愿望 灯笼	0
中国 继续 年 学位 西雅图	0
機器 年 繃 版 了	1
工業 有 和 橡膠 生產	1
物资 飞机 集团公司 海南 月	0
成婚 方面 莱伯恩 与 戴维斯	0
並 開始 孩子 不是 交給	1
團 因此 合成 確認 青素	1
已 研究生 在内 在册 学院	0
的 和 完整性 测试 方法	0
游泳池 停车场 竞技场 一度 和	0
一个 是 成为 知识分子 的	0
同一个 在 手稿 时 文章	0
拒绝 直线 的 组织 机制	0
巡演 月 四個 深圳 城市	1
九段 和 上 附近 东岸	0
巴伐利亞 地區 匹配 設計 該塔	1
處理 型態 可以 在 例外	1
莎吉爾 主人 哈 取 生	1
的 在 有人 或 普及	1
的 不够 之处 设计 失败	0
总部 的 汽车 科麦奇 大厦	0
暖锋 更 的 时会 两倍	0
增长 金融 保持 没有 爆发	0
的 下载 词 了 这个	0
区 年 的 成立 一个	0
新生 成体 条件 会 小	0
全聚德 方面 是 餐馆 优质	0
稳定 之后 年轻 社会 们	0
在 此 的 外圍 地區	1
树 最好 深度 超过 需要	0
的 是 从来 写 作曲家	0
南投縣 成立 投鎮 臺中縣 月	1
測試 可 資訊 實行 有限	1
列入 营商 度 潜力 的	0
的 是 屏東縣 台灣 舊名	1
亿元 约 基础设施 成本 为	0
坐 中 地 然後 的	1
女兒 和 來 這位 的	1
專責 會見 非法拘禁 討論 個人	1
匝 路线 继续 东南 穿过	0
和 与 范围 所 还	0
為 命名 該 後 贊助商	1
結束 五點 下午 開始 在	1
战场 的 不会 进行 海上	0
廈門島 最近 電動 對河 該島	1
代表 每年 参加 自己 选出	0
中 的 第 在 是	0
使用 和 上 全日 这条	0
一家 收录 首歌 这 辛普森	0
鱼苗 迅速 长成 它们 条纹	0
鋸木廠 一家 建造 上 的	1
就是 一个 色带 过程 颜色	0
測試用例 情況 等 用例 出現	1
和 摩 部分 的 沙	1
公里 長 高 英哩 水庫	1
爆炸 雅区 受伤 事故 发生	0
了 的 云南 搬到 随后	0
来 金属 用 的 其他	0
的 直升机 飞机 喷气 和	0
特色 書 作品 可 內容	1
紐約 聯合 程序 警察 出演	1
印表機 厚紙板 不適 列印 媒介	1
英尺 上 由 有 在	0
寻找 农村 传统 后 开始	0
內容 的 概念 了 合一	1
