predicted_labels	true_labels	lil_interpretations	gil_interpretations
0	0	[('quali', -0.5125872790813446), ('dî', -0.5127133131027222), ('chiamata', -0.5133708119392395), ('magnitùtini', -0.5133905708789825), ('parti', -0.51348477602005)]	['occorre trovare una soluzione', 'haiu a jiri si prununza', 'sulla raccomandazione gonzález triviño a', 'non dobbiamo mai dimenticarlo', 'è laccordo sottoscritto nellambito dellimo']
0	0	[('nomu', -0.5112720131874084), ('x', -0.5123454928398132), ('nicia', -0.5125504434108734), ('hyccara', -0.5130099356174469), ('distruttu', -0.5130876302719116)]	['occorre trovare una soluzione', 'haiu a jiri si prununza', 'sulla raccomandazione gonzález triviño a', 'non dobbiamo mai dimenticarlo', 'non ritornerò su questo punto']
0	0	[('e', -0.5136473774909973), ('di', -0.5138481557369232), ('ruggeru', -0.5142397880554199), ('re', -0.5143113732337952), ('privileggiu', -0.5143243074417114)]	['occorre trovare una soluzione', 'haiu a jiri si prununza', 'sulla raccomandazione gonzález triviño a', 'non dobbiamo mai dimenticarlo', 'non ritornerò su questo punto']
0	0	[('nomi', -0.513264924287796), ('di', -0.5142616331577301), ('sarausa', -0.5143792033195496), ('a', -0.5144299268722534), ('eloru', -0.514478325843811)]	['occorre trovare una soluzione', 'haiu a jiri si prununza', 'sulla raccomandazione gonzález triviño a', 'non dobbiamo mai dimenticarlo', 'non ritornerò su questo punto']
0	0	[('sèculu', -0.5113590657711029), ('la', -0.5114225447177887), ('fàricci', -0.5116004943847656), ('papa', -0.5118176639080048), ('pi', -0.5119544267654419)]	['occorre trovare una soluzione', 'haiu a jiri si prununza', 'sulla raccomandazione gonzález triviño a', 'non dobbiamo mai dimenticarlo', 'non ritornerò su questo punto']
0	0	[('ca', -0.5135595798492432), ('e', -0.5136238932609558), ('pruvincia', -0.5136322677135468), ('la', -0.5138334929943085), ('citati', -0.5139729678630829)]	['occorre trovare una soluzione', 'haiu a jiri si prununza', 'sulla raccomandazione gonzález triviño a', 'non dobbiamo mai dimenticarlo', 'non ritornerò su questo punto']
1	1	[('offre', -0.48288464546203613), ('di', -0.4832291007041931), ('visione', -0.4838436245918274), ('signora', -0.48544758558273315), ('presidente', -0.48591500520706177)]	['occorre trovare una soluzione', 'vorrei fare però unaltra osservazione', 'vorrei porle una domanda', 'il debito estero del', 'si tratta di unottima proposta']
0	0	[('lamministrazzi', -0.5138305127620697), ('pupulazzioni', -0.5139476656913757), ('finanza', -0.5142464637756348), ('turismu', -0.5143074691295624), ('li', -0.5143836438655853)]	['occorre trovare una soluzione', 'haiu a jiri si prununza', 'sulla raccomandazione gonzález triviño a', 'non dobbiamo mai dimenticarlo', 'non ritornerò su questo punto']
1	1	[('ho', -0.4868479371070862), ('unità', -0.48729002475738525), ('ad', -0.4874532222747803), ('che', -0.48767268657684326), ('certa', -0.48804473876953125)]	['occorre trovare una soluzione', 'vorrei fare però unaltra osservazione', 'vorrei porle una domanda', 'il debito estero del', 'si tratta di unottima proposta']
1	1	[('sostenibilità', -0.4824042320251465), ('criteri', -0.4842512607574463), ('la', -0.4856081008911133), ('in', -0.4860486388206482), ('che', -0.4870757460594177)]	['occorre trovare una soluzione', 'vorrei fare però unaltra osservazione', 'vorrei porle una domanda', 'il debito estero del', 'si tratta di unottima proposta']
