predicted_labels	true_labels	lil_interpretations	gil_interpretations
1	1	[('由', -0.5090506970882416), ('途徑', -0.5091095566749573), ('所', -0.5091272294521332), ('是', -0.5091429948806763), ('而且', -0.5091489255428314)]	['成 大 位於 台灣 台南市', '中原大學 體育館', '運動 醫學 教授', '本季 的 作者', '元件 介面 測試']
1	1	[('分鐘', -0.5100531578063965), ('鴨過', -0.5100884735584259), ('晾乾', -0.5100895166397095), ('掛起', -0.510114461183548), ('滾水', -0.5101251304149628)]	['成 大 位於 台灣 台南市', '中原大學 體育館', '運動 醫學 教授', '本季 的 作者', '元件 介面 測試']
0	0	[('的', -0.5554693043231964), ('年', -0.5556435286998749), ('县级', -0.5557366907596588), ('现在', -0.5569162666797638), ('公路', -0.557144284248352)]	['向东 转弯 沿着 延伸', '东风 销售 各种 品牌 汽车', '對陳龍斌 來說 書本 非常 重要', '也 製造 石化 產業 設備', '石家莊 動物園 位於 該市 西側']
1	1	[('上海', -0.5098869502544403), ('松山', -0.5099050998687744), ('月', -0.5099183022975922), ('航線', -0.5099270343780518), ('飛行', -0.5099320709705353)]	['成 大 位於 台灣 台南市', '中原大學 體育館', '運動 醫學 教授', '本季 的 作者', '元件 介面 測試']
0	0	[('有', -0.574087381362915), ('鲨', -0.5744486451148987), ('对', -0.574509859085083), ('表现', -0.5745519995689392), ('报道', -0.5746828317642212)]	['對陳龍斌 來說 書本 非常 重要', '也 製造 石化 產業 設備', '向东 转弯 沿着 延伸', '还 管理 饮用水 和 废水', '石家莊 動物園 位於 該市 西側']
1	1	[('達加', -0.5090422332286835), ('的', -0.5090701282024384), ('所在地', -0.5090863406658173), ('地區', -0.5090965926647186), ('之前', -0.5090970993041992)]	['成 大 位於 台灣 台南市', '中原大學 體育館', '運動 醫學 教授', '本季 的 作者', '元件 介面 測試']
0	0	[('流产', -0.5788126289844513), ('包括', -0.5792603194713593), ('方法', -0.5793546438217163), ('孕', -0.579475462436676), ('时', -0.5795572996139526)]	['向东 转弯 沿着 延伸', '對陳龍斌 來說 書本 非常 重要', '也 製造 石化 產業 設備', '还 管理 饮用水 和 废水', '石家莊 動物園 位於 該市 西側']
0	0	[('一个', -0.5533038377761841), ('听到', -0.5534645318984985), ('说', -0.5534918010234833), ('只是', -0.5534924566745758), ('爱', -0.5535026788711548)]	['向东 转弯 沿着 延伸', '东风 销售 各种 品牌 汽车', '對陳龍斌 來說 書本 非常 重要', '也 製造 石化 產業 設備', '石家莊 動物園 位於 該市 西側']
1	1	[('界面', -0.5098383724689484), ('將', -0.509851336479187), ('能', -0.5098698437213898), ('成分', -0.5098742842674255), ('像是', -0.5098786056041718)]	['成 大 位於 台灣 台南市', '中原大學 體育館', '運動 醫學 教授', '本季 的 作者', '元件 介面 測試']
0	0	[('信件', -0.5704618394374847), ('投递', -0.5708599388599396), ('日本', -0.5711601674556732), ('邮递员', -0.5712265372276306), ('关于', -0.5712566077709198)]	['向东 转弯 沿着 延伸', '對陳龍斌 來說 書本 非常 重要', '也 製造 石化 產業 設備', '还 管理 饮用水 和 废水', '东风 销售 各种 品牌 汽车']
1	1	[('現在', -0.5103348791599274), ('名稱', -0.5103507339954376), ('為', -0.5103653371334076), ('更換', -0.5103807151317596), ('的', -0.5103939473628998)]	['成 大 位於 台灣 台南市', '中原大學 體育館', '運動 醫學 教授', '本季 的 作者', '元件 介面 測試']
1	1	[('的', -0.5103210508823395), ('收視率', -0.5103442370891571), ('檔案', -0.5103923082351685), ('本週', -0.5104261040687561), ('福克斯', -0.5104453265666962)]	['成 大 位於 台灣 台南市', '中原大學 體育館', '運動 醫學 教授', '本季 的 作者', '元件 介面 測試']
0	0	[('秘鲁', -0.5652515590190887), ('支持', -0.5653418898582458), ('特区', -0.5656973421573639), ('鳄', -0.5657893717288971), ('在', -0.56594318151474)]	['向东 转弯 沿着 延伸', '东风 销售 各种 品牌 汽车', '也 製造 石化 產業 設備', '對陳龍斌 來說 書本 非常 重要', '还 管理 饮用水 和 废水']
0	0	[('字符', -0.5543727278709412), ('打印', -0.5546451807022095), ('字', -0.5549280941486359), ('秒钟', -0.5550972819328308), ('的', -0.555269330739975)]	['向东 转弯 沿着 延伸', '东风 销售 各种 品牌 汽车', '對陳龍斌 來說 書本 非常 重要', '也 製造 石化 產業 設備', '石家莊 動物園 位於 該市 西側']
