一个计算机程序被训练来根据句子中的单词猜测句子的方言。 - 你会看到一个来自方言的句子和计算机用来分类的单词。 - 您将看到计算机使用的两种不同算法，每种算法都基于不同的单词。 - 每组单词按重要性降序排列。 （第一个词最重要，第二个词次要，第三个词最不重要） - 你需要通过回答这两个问题来决定哪种算法更能解释计算机的决定。 - 问题一请使用 x, y, b, n 来标注所选选项				
句子	算法 X	算法 Y	问题1：计算机应该根据算法X(x)、算法Y(y)、两者(b)、都不是(n) 将句子分类为大陆普通话吗？	问题2：如果您在问题1中回答 都不是(n)，你觉得计算机应该根据什么词来做选择呢？
因此 可能 被 发现 是 一颗 熔岩 海洋 行星 而 开普勒 的 成分 必定 主要 是 岩石 或 铁	而, 一颗, 铁	发现, 一颗, 铁	b	
发现 的 绝大多数 遗迹 都 位于 高雄 港 周围 的 山丘 上	遗迹, 位于, 绝大多数	遗迹, 山丘, 港	x	
经过 辽沈战役 的 一系列 进攻 年 月 日 共产党 攻占 该城	共产党, 年, 该城	辽沈战役, 经过, 的	x	
年 在 台湾 日治 时期 台北 被 重新 命名 为 台北 州	被, 为, 时期	时期, 为, 日治	x	
然而 电力 需求 增长 比 之前 预计 的 要 快	要, 比, 预计	电力, 预计, 增长	y	
它 是 排 在 花莲县 后 的 台湾 第二 大县	在, 后, 是	花莲县, 的, 后	y	
可视化 测试 具有 很多 优势	测试, 可视化, 优势	很多, 具有, 测试	x	
帖子 按 从 新 到 旧 的 顺序 显示 每天 数次 实时 使用 软件 手动 更新 编码 文本	实时, 新, 更新	编码, 实时, 的	x	
汪 东城 是 第一个 加入 飞轮 海 的 成员	海, 加入, 成员	第一个, 成员, 是	y	
年 月 林心 如 开始 拍摄 其 担任 制片人 的 首部 作品 倾世 皇妃	倾世, 首部, 制片人	开始, 倾世, 拍摄	x	
高雄 是 台湾 西南部 的 主要 国际 港口 和 工业 城市	工业, 台湾, 高雄	城市, 西南部, 港口	y	
小 语种 出版业 缺乏 经济 可行性 可以 通过 成本 低 的 博客 找到 其 受众	可以, 受众, 的	小, 的, 出版业	x	
苏联 人 被 乘坐 美国 运输机 涌入 的 中国国民党 所 取代	乘坐, 运输机, 所	人, 的, 涌入	x	
年 鲁汶 大学 和 欧洲 微电子 研究 中心 与 成大 达成 双学位 协议	欧洲, 大学, 鲁汶	协议, 与, 研究	y	
这些 工厂 为 沈阳 的 工业 发展 奠定 了 基础	基础, 工厂, 工业	奠定, 这些, 工厂	y	
纸张 会 被 传到 带有 相反 电荷 的 液体 墨池 附近	带有, 墨池, 会	纸张, 电荷, 的	x	
关于 在 精神病院 的 时间 其 细节 鲜为人知	鲜为人知, 精神病院, 时间	时间, 鲜为人知, 细节	x	
年 美国 垦务局 设计 总工程师 萨凡奇 实地 勘测 这一 地区 为 扬子江 工程 拟定 了 一份 大坝 方案	总工程师, 方案, 年	了, 扬子江, 勘测	y	
这种 特别 的 爬升 坡 高度 不足 英尺 米 迄今 仍 是 这个 高度	米, 这个, 特别	这种, 这个, 特别	n	迄今
仙林 校区 目前 与 鼓楼 校区 同 为主 校区	校区, 鼓楼, 目前	鼓楼, 为主, 仙林	x	
这 本书 讨论 了 美国 电影 协会 指定 电影 分级 的 历史 即 分类 和 分级管理	分级管理, 电影, 协会	协会, 的, 即	x	
在 过山车 很 流行 的 日本 人们 用 云霄 飞车 一词 指代 过山车	一词, 的, 很	飞车, 的, 过山车	y	
公司 也 生产 过 这种 打印机	生产, 这种, 打印机	公司, 生产, 过	x	
罗伯特 福克 沃斯 作为 管理员 出现 之前 在 剧集 和 中是 作为 出现 的	的, 管理员, 福克	作为, 福克, 管理员	b	
通常 只生 一只 马驹 它 能 在 一 小时 内 跑动	马驹, 小时, 通常	它, 马驹, 小时	b	
