predicted_labels	true_labels	lil_interpretations	gil_interpretations
1	1	[('遭到', -0.5490044355392456), ('有', -0.5490114092826843), ('砍伐', -0.5490247011184692), ('滿洲里', -0.5490288734436035), ('大量', -0.5490339696407318)]	['成 大 位於 台灣 台南市', '國道 二號 通往 桃園 國際機場', '中原大學 體育館', '內徑 為 公尺', '運動 醫學 教授']
1	1	[('新澤西州', -0.5481058061122894), ('中心', -0.5482039153575897), ('當代藝術', -0.5482075214385986), ('藝術', -0.5482215285301208), ('一次', -0.5482233166694641)]	['成 大 位於 台灣 台南市', '國道 二號 通往 桃園 國際機場', '中原大學 體育館', '內徑 為 公尺', '運動 醫學 教授']
1	1	[('氣冷', -0.5496242046356201), ('新', -0.5496316254138947), ('機組', -0.5496352016925812), ('且', -0.5496356785297394), ('維護', -0.5497041642665863)]	['成 大 位於 台灣 台南市', '國道 二號 通往 桃園 國際機場', '中原大學 體育館', '內徑 為 公尺', '運動 醫學 教授']
0	0	[('提取', -0.5119154453277588), ('采用', -0.5124222636222839), ('发现', -0.5127947926521301), ('出', -0.5132434666156769), ('有效', -0.5135376453399658)]	['艾維斯 並搬 到 巴黎', '向东 转弯 沿着 延伸', '年 中華民國政府 設置 桃園縣', '东风 销售 各种 品牌 汽车', '也 製造 石化 產業 設備']
1	1	[('台北', -0.5484766662120819), ('在', -0.5484780967235565), ('樂團', -0.548504114151001), ('時尚', -0.5485303997993469), ('他', -0.548552393913269)]	['成 大 位於 台灣 台南市', '國道 二號 通往 桃園 國際機場', '中原大學 體育館', '內徑 為 公尺', '運動 醫學 教授']
0	0	[('会', -0.5143091082572937), ('边唱', -0.515137791633606), ('我', -0.515298992395401), ('这', -0.5153355896472931), ('但', -0.5154666602611542)]	['艾維斯 並搬 到 巴黎', '向东 转弯 沿着 延伸', '年 中華民國政府 設置 桃園縣', '东风 销售 各种 品牌 汽车', '也 製造 石化 產業 設備']
1	1	[('六院', -0.5494973659515381), ('設有', -0.5495932102203369), ('系', -0.5508030652999878)]	['成 大 位於 台灣 台南市', '國道 二號 通往 桃園 國際機場', '中原大學 體育館', '內徑 為 公尺', '運動 醫學 教授']
1	1	[('已經', -0.5481719672679901), ('的', -0.5481807887554169), ('無關', -0.548194944858551), ('儘管', -0.5482271015644073), ('都', -0.5482321381568909)]	['成 大 位於 台灣 台南市', '國道 二號 通往 桃園 國際機場', '中原大學 體育館', '內徑 為 公尺', '運動 醫學 教授']
0	0	[('话', -0.5046709477901459), ('原住民', -0.5052954852581024), ('也', -0.5066108107566833), ('语', -0.5068783760070801), ('英语', -0.5155125856399536)]	['艾維斯 並搬 到 巴黎', '向东 转弯 沿着 延伸', '年 中華民國政府 設置 桃園縣', '东风 销售 各种 品牌 汽车', '對陳龍斌 來說 書本 非常 重要']
1	1	[('土地', -0.5480828285217285), ('的', -0.5481308102607727), ('最初', -0.5481338202953339), ('併入', -0.548151284456253), ('世紀', -0.5481699705123901)]	['成 大 位於 台灣 台南市', '國道 二號 通往 桃園 國際機場', '中原大學 體育館', '內徑 為 公尺', '運動 醫學 教授']
0	0	[('日漫改', -0.5061072707176208), ('男', -0.5107142627239227), ('宣布', -0.5114449560642242), ('天城', -0.5115658640861511), ('绝对', -0.5118231773376465)]	['艾維斯 並搬 到 巴黎', '向东 转弯 沿着 延伸', '年 中華民國政府 設置 桃園縣', '东风 销售 各种 品牌 汽车', '對陳龍斌 來說 書本 非常 重要']
0	0	[('媒体', -0.5052963495254517), ('认可', -0.5057553648948669), ('得到', -0.5068284869194031), ('对', -0.5087133944034576), ('政府', -0.5116066634654999)]	['艾維斯 並搬 到 巴黎', '向东 转弯 沿着 延伸', '年 中華民國政府 設置 桃園縣', '东风 销售 各种 品牌 汽车', '對陳龍斌 來說 書本 非常 重要']
0	0	[('剧组', -0.5149887800216675), ('对', -0.5155130326747894), ('曼说', -0.5168563723564148), ('他', -0.5175624489784241), ('一集', -0.517848938703537)]	['艾維斯 並搬 到 巴黎', '向东 转弯 沿着 延伸', '东风 销售 各种 品牌 汽车', '年 中華民國政府 設置 桃園縣', '對陳龍斌 來說 書本 非常 重要']
0	0	[('园艺', -0.5138245522975922), ('上', -0.5141099989414215), ('得以', -0.5147833824157715), ('未能', -0.5149414539337158), ('的', -0.515036016702652)]	['艾維斯 並搬 到 巴黎', '向东 转弯 沿着 延伸', '东风 销售 各种 品牌 汽车', '年 中華民國政府 設置 桃園縣', '對陳龍斌 來說 書本 非常 重要']
0	0	[('测试', -0.5157591998577118), ('数据', -0.5162996649742126), ('一种', -0.5169388949871063), ('子系统', -0.5174520313739777), ('相关', -0.5177500247955322)]	['艾維斯 並搬 到 巴黎', '向东 转弯 沿着 延伸', '东风 销售 各种 品牌 汽车', '年 中華民國政府 設置 桃園縣', '對陳龍斌 來說 書本 非常 重要']
0	0	[('在', -0.5121253728866577), ('规定', -0.5125975608825684), ('内', -0.5131816267967224), ('缺乏', -0.5146017074584961), ('案件', -0.5148076415061951)]	['艾維斯 並搬 到 巴黎', '向东 转弯 沿着 延伸', '东风 销售 各种 品牌 汽车', '年 中華民國政府 設置 桃園縣', '對陳龍斌 來說 書本 非常 重要']
0	0	[('董事长', -0.517036646604538), ('竞选', -0.5171132981777191), ('挑战者', -0.5171258747577667), ('公司', -0.5179706811904907), ('年', -0.5187978744506836)]	['艾維斯 並搬 到 巴黎', '向东 转弯 沿着 延伸', '东风 销售 各种 品牌 汽车', '年 中華民國政府 設置 桃園縣', '對陳龍斌 來說 書本 非常 重要']
0	0	[('他', -0.5134610831737518), ('在', -0.5159461796283722), ('年', -0.5161745846271515), ('项目', -0.5163147747516632), ('杂志', -0.5163858234882355)]	['艾維斯 並搬 到 巴黎', '向东 转弯 沿着 延伸', '东风 销售 各种 品牌 汽车', '年 中華民國政府 設置 桃園縣', '也 製造 石化 產業 設備']
0	0	[('一种', -0.5031021237373352), ('推测', -0.5049376785755157), ('氯化物', -0.50612673163414), ('是', -0.5074910223484039), ('它', -0.5152298212051392)]	['艾維斯 並搬 到 巴黎', '向东 转弯 沿着 延伸', '年 中華民國政府 設置 桃園縣', '东风 销售 各种 品牌 汽车', '對陳龍斌 來說 書本 非常 重要']
1	1	[('更', -0.5518554151058197), ('完成', -0.5519186854362488), ('我', -0.5519281625747681), ('工作', -0.5530581176280975), ('輕鬆', -0.5530824363231659)]	['成 大 位於 台灣 台南市', '國道 二號 通往 桃園 國際機場', '中原大學 體育館', '內徑 為 公尺', '運動 醫學 教授']
1	1	[('區的', -0.5491675138473511), ('附近', -0.5494148433208466), ('中正', -0.5494630932807922), ('總統府', -0.5494753420352936), ('地標', -0.5494996011257172)]	['成 大 位於 台灣 台南市', '國道 二號 通往 桃園 國際機場', '中原大學 體育館', '內徑 為 公尺', '運動 醫學 教授']
1	1	[('航空', -0.548899918794632), ('提供', -0.54897540807724), ('月', -0.549049586057663), ('羽田機場', -0.5490587055683136), ('直飛', -0.5490816533565521)]	['成 大 位於 台灣 台南市', '國道 二號 通往 桃園 國際機場', '中原大學 體育館', '內徑 為 公尺', '運動 醫學 教授']
0	0	[('过程', -0.5179962515830994), ('演变', -0.5181871652603149), ('发酵', -0.5187777578830719), ('一种', -0.5190502405166626), ('通过', -0.5203475058078766)]	['艾維斯 並搬 到 巴黎', '向东 转弯 沿着 延伸', '东风 销售 各种 品牌 汽车', '年 中華民國政府 設置 桃園縣', '對陳龍斌 來說 書本 非常 重要']
1	1	[('日', -0.5483683049678802), ('以', -0.5484408736228943), ('公里', -0.5484732687473297), ('達到', -0.5484828352928162), ('英哩', -0.5484848618507385)]	['成 大 位於 台灣 台南市', '國道 二號 通往 桃園 國際機場', '中原大學 體育館', '內徑 為 公尺', '運動 醫學 教授']
1	1	[('初中', -0.549456775188446), ('效實', -0.5494807958602905), ('中學', -0.5494889616966248), ('於', -0.5495376586914062), ('高中', -0.5496270656585693)]	['成 大 位於 台灣 台南市', '國道 二號 通往 桃園 國際機場', '中原大學 體育館', '內徑 為 公尺', '運動 醫學 教授']
